users,text,quote,topic,times
 Одеялко," А вообще дорого выходит такое обучение? У меня вот только проблема, подруг мало, на ком тренироваться то? Это общая специфика обучения в этой школе или за дополнительную плату? Понимаю, что много вопросов но я очень тщательно подхожу к этому вопросу. Все таки это затрата и времени и средств.",, Job, 6 ноя 2017
 Поэтэсса," Дома заниматься конечно тоже нужно. Присмотритесь еще к Базовому курсу, мой вам совет Так сказать набивать руку. Вы и в студии татуажа Милы Янгель хорошо обучитесь, плюс, конечно же, лучше всего купить для занятий самостоятельных дома что-то вроде силиконовой кожи. Но на занятиях мы обучались уже на живых людях.Думаю, что вам должно в принципе понравится, но лучше доехать, побеседовать на месте. А там уже решите. Я работаю давно, и благодарна за те знания что мне дали в этой студии.Сертификат выдаётся только после сдачи экзаменов. Первые 2 дня обучения отработка на латексе, коврики из искусственной кожи. Далее 4 дня практики",, Job, 6 ноя 2017
 Одеялко," Нужно все подробно рассмотреть, ведь в итоге я хочу работать и получать удовольствие от работы. Долго что ли сам процесс обучения идет? И что на счет материалов? Предоставляют или самой покупать? Вообще есть в планах освоить губы и межресничку.",, Job, 7 ноя 2017
 Серсея," Большинство мастеров либо снимают место в салоне красоты, либо работают просто за определенную зарплату. Поэтому инициация должна исходить от самого мастера, это же в её интересах. Для начала надо наверное пройти общий базовый курс по перманентному макияжу, рассчитанный на 6 занятий, чтобы хотя бы общие азы знаний получить, а там уже конкретно татуаж глаз, бровей и т.д. Занимаются в студии Милы Янгель в мини-группах 2-4 человека, так что информация усваивается хорошо, естественно и вопросы можно задавать",, Job, 28 ноя 2017
 Adelid," Все зависит от выбранного курса. Есть те, где Инга Бабицкая ведет, есть где другие преподаватели. Для совсем новичка, я бы посоветовала Базовый профессиональный курс перманентного макияжа. Там как раз все с нуля преподают, начинают с того как руку правилно держать, как обезболивать, как место свое рабочее организовать и т.п. Также выучите основные техники по глазам, губам и бровям."," И сколько по деньгам у нее сейчас курсы выходят? Хочется понять: к каким суммам готовиться? Она сама преподает? Или мастера из ее студии? Пока сижу в декрете, хотелось бы освоить перманентный макияж. Ранее ничем подобным не занималась. Сколько времени уходит на обучение? Какой курс посоветуете новичку?", Job, 6 дек 2017
 Rebbekk," Одной теории мало, в этом я считаю преимущество этой школы это то что практика начинается сразу после теории, и делают на нее большой акцент,под присмотром мастера. И если не сдадите практический экзамен, то сертификат вам не выдадут, и это очень правильно, это значит что школа берет на себя ответственность за своих учеников. Удачи вам, девочки!"," Большинство мастеров либо снимают место в салоне красоты, либо работают просто за определенную зарплату. Поэтому инициация должна исходить от самого мастера, это же в её интересах. Для начала надо наверное пройти общий базовый курс по перманентному макияжу, рассчитанный на 6 занятий, чтобы хотя бы общие азы знаний получить, а там уже конкретно татуаж глаз, бровей и т.д. Занимаются в студии Милы Янгель в мини-группах 2-4 человека, так что информация усваивается хорошо, естественно и вопросы можно задавать", Job, 13 дек 2017
 Augusi," интересно, автор, вы записались уже на курсы? или еще не решились?",, Job, 13 дек 2017
 Серсея," Правильно рассуждаете, меня в свое время подтолкнула на мысль об обучении татуажу подруга. Давно в этой сфере, клиентов достаточно, многие идут уже по рекомендации. Я осталась довольна обучением у Милы Янгель,руку уже набила, клиентов много есть, приходят уже по рекомендациям клиенток, которым я делала татуаж ранее. Так что, главное желание научится, а дальше дело техники. А так новичкам советую всем пройти сначала именно базовый курс 6и дневный, где получишь все азы этой профессии",, Job, 20 янв 2018
 Одеялко," Жаль не сразу получилось попасть на индивидуальные курсы, в связи с большой занятостью преподавателей. Но я умею ждать. Через неделю меня смогли принять, прошла инд курсы перманентного мастерства. Как и ожидала - все супер здорово, спасибо!Если группа небольшая, то там мастер успевает всем все показать и на вопросы ответить. Так что если кто собирается, смотрите по финансам, можно и на групповые курсы пойти без ущерба для учебного процесса. А так индивидуальные конечно немного дороже будут, ну и по дням они меньше идут соответственно"," Правильно рассуждаете, меня в свое время подтолкнула на мысль об обучении татуажу подруга. Давно в этой сфере, клиентов достаточно, многие идут уже по рекомендации. Я осталась довольна обучением у Милы Янгель,руку уже набила, клиентов много есть, приходят уже по рекомендациям клиенток, которым я делала татуаж ранее. Так что, главное желание научится, а дальше дело техники. А так новичкам советую всем пройти сначала именно базовый курс 6и дневный, где получишь все азы этой профессии", Job, 21 янв 2018
 Adelid," Не знаю как в других школах, я когда к Инге Бабицкой на индивидуальные курсы ходила ,там не было таккого, что индивидуальные занятия идут меньше, чем групповые ,там занятия идут одинаково, разница только в количестве обучаемых. То есть на индивидуальном курсе преподаватель работает только с вами, поэтому они и дороже.",, Job, 6 фев 2018
 Одеялко," К тому же это очень интересное занятие. Я вот всегда любила рисовать, творить, поэтому мне обучение далось достаточно легко. Проходила базовые курсы в школе-студии Милы Янгель. Прежде чем вышла на нее много тоже чего перелопатила, но в итоге ее работы понравились больше всех. Получила основы общения с клиентом, как готовить рабочий стол и конечно же как провести процедуру и даже последующий уход...Тренировались дополнительно дома на манекене, конечно же основной опыт получаешь только когда на живых людях учишься, благо у меня с подругами недостатка не было, также и в студии были живые модели)",, Job, 21 фев 2018
 Adelid," Ну все мы в первую очередь на знакомых учимся, я когда школу Инги Бабицкой закончила тоже на подругах тренировалась. Правда потом уже когда руку набила бесплатно переделала многим, все таки сразу не все идеально получается.",, Job, 7 мар 2018
 Серсея," Вообще если умеешь рисовать, то это большой плюс. Конечно еще нужно обладать воображением ну и много много учиться, набивать руку. Да и сейчас это очень даже популярное направление, явно без работы и клиентов не останетесь. Я в свое время много какие школы перечитала, инфу разную смотрела. В итоге выбрала школу-студию татуажа Милы Янгель. Обучалась основам татуажа. Мастера внимательные, видно, что направлены именно на полное предоставление знаний. Хорошо дают информацию, курс состоит из нескольких занятий. Обязательно так же есть и практические занятия, есть обучение теории, как анестезию проводить, как подготовить клиента, как подготовить рабочий стол.ufeff",, Job, 24 мар 2018
 Adelid," Планируете дальше как-то развиваться? Если да, то в каком направлении? Я вот думаю татуаж ареолы пройти, обращались ко мне некоторые клиентки за такой процедурой, а без обучения боязно в это лезть, думаю сначала курсы закончить, а потом уже делать.",, Job, 20 апр 2018
 Одеялко," Мне давно хотелось обучиться перманентному макияжу, вот только никак не могла решиться. А тут подружка предложила совместный бизнес, вроде у нее парикмахерские услуги будут, а у меня татуаж. Вот только проблема в том, что у нас по Москве так много этих школ и студий, что выбрать что-то конкретное достаточно сложно! Посоветуйте, пожалуйста, к кому лучше пойти? И сколько сейчас это стоит?",, Job, 21 май 2018
 Adelid," Если говорить про Курсы у Инги Бабицкой, то в плане практических навыков очень много вам дадут, так как каждую технику вы успеете отработать на одной - двух моделях, а это очень сильное подспорье в обучении. Поверьте мне как практикующему мастеруИзменено 14 июл 218 пользователем Adelid",, Job, 14 июл 2018ttttttt(изменено)ttttttttttt
