users,topic,times,quote,text
PsyOpus3003,Books&Literature, 27 января 2012 г. 20:40   [нажмите здесь чтобы увидеть текст поста],,"Здравствуйте.Помогите вспомнить автора. Помню только один его рассказ.Два друга отдыхают на пляже, и находят раненую собаку, которую к тому же бросили хозяева. Они решают ей помочь, перевязывают рану. Уже ближе к вечеру объявляются хозяева, и начинают оправдываться мол они думали что она не выживет и т.д.В общем это все что я помню, если вдруг кто знает, напишите. Буду очень признателен."
пофистал,Books&Literature, 29 января 2012 г. 19:38   [нажмите здесь чтобы увидеть текст поста],,"Когда-то читал иностранный детектив про жокея.Помню, главный злыдень там угощал лошадей кусочками сахара, на которые лекарство что ли какое накапал ну, чтоб лошадь проиграла.Сам злодей был из жокейской семьи, но с аллергией к лошадям. Ну и так как не оправдал семейных ожиданий, то постепенно озлобился и таким макаром стал вредить всем успешным жокеям. А был он то ли спортивным комментатором, то ли кем-то типа того.Читал кто такое?"
k2007,Books&Literature, 29 января 2012 г. 19:41   [нажмите здесь чтобы увидеть текст поста],,"Это Дик Френсис сто процентов. ""Расследование""? Нет, не ""Расследование"". Буду вспоминатьUPD ""Нерв"", ""Кураж"", ""Смерть на ипподроме"" — это все одна книга"
пофистал,Books&Literature, 29 января 2012 г. 20:11   [нажмите здесь чтобы увидеть текст поста],,"Спасибо, k2007"
Банни,Books&Literature, 4 февраля 2012 г. 20:00   [нажмите здесь чтобы увидеть текст поста],,"Помогите. Не помню ни названия,ни автора.Повесть?про девочку,она очень хорошо рисовала,у нее был талант ,и вроде была чем-то больна, и вроде ей даже запретили рисовать. Еще помню, что она влюбилась в вожатого? в лагере?вроде бы.  Потом в конце она умерла. Больше ничего не помню. Может кто вспомнит?"
Altaika,Books&Literature, 4 февраля 2012 г. 22:26   [нажмите здесь чтобы увидеть текст поста],"Помогите. Не помню ни названия,ни автора.Повесть?про девочку,она очень хорошо рисовала,у нее был талант ,и вроде была чем-то больна, и вроде ей даже запретили рисовать. Еще помню, что она влюбилась в вожатого? в лагере?вроде бы.  Потом в конце она умерла. Больше ничего не помню. Может кто вспомнит?","цитата БанниПомогите. Не помню ни названия,ни автора.Повесть?про девочку,она очень хорошо рисовала,у нее был талант ,и вроде была чем-то больна, и вроде ей даже запретили рисовать. Еще помню, что она влюбилась в вожатого? в лагере?вроде бы.  Потом в конце она умерла. Больше ничего не помню. Может кто вспомнит?По-моему, это Эдуард Пашнев, ""Девочка и олень"". Прототипом для главной героини послужила художница Надя Рушева."
fruitcake,Books&Literature, 5 марта 2012 г. 14:54   [нажмите здесь чтобы увидеть текст поста],,"здравствуйте. помогите пожалуйста найти книгу.в далеком детстве читала книгу о девушке любившей гулять по берегу моря. однажды она нашла большую жемчужину. позже она встретила на берегу парня. они влюбились. но девушка была принцессой и должна была выйти замуж за принца. позже оказалось конечно, что тот парень и был принцем, но пожениться им не удалось. у девушки была, вроде как, фея, но в итоге оказалось, что это не фея, а ведьма. мама девушки, королева, не могла родить и обратилась к морской колдунье. колдунья обещала помочь если женщина отдаст ей свою дочь через 16 лет. девочка найдет большую жемчужину на берегу, это будет значить, что время пришло. и вот девушка, веря этой феи-колдунье, соглашается поплавать в последний раз.. фея дает ей хвост, на протяжение всей книги девушка плавала как русалка когда ей хотелось, и девушка уже не может вернуться на берег. ведьма хочет забрать молодость и красоту девушки, но принцесса убивает её. она возвращается к принцу, но он не может плавать с ней. она оставляет его. в самом конце она видит своего принца гуляющего по берегу со своей маленькой дочкой. девочка убежала далеко и парень позвал дочку, именем девушки-русалки.все достаточно сумбурно, но это все что смогла вытащить из памяти и сформулировать, хоть и не совсем понятно, словами. не помню названия и автора. а в поисковике при вводе ""русалочка"" находится сказка Андерсена."
Aryan,Books&Literature, 6 марта 2012 г. 17:12   [нажмите здесь чтобы увидеть текст поста],,"fruitcake это скорее дамский любовный роман в антураже фэнтези, а здесь мало любителей этого жанра. Вы лучше попробуйте поискать форум, который специализируется на любовных романах — больше шансов на ответ."
fruitcake,Books&Literature, 6 марта 2012 г. 21:51   [нажмите здесь чтобы увидеть текст поста],,"Aryan нет, именно детская книжка))"
Aryan,Books&Literature, 7 марта 2012 г. 15:05   [нажмите здесь чтобы увидеть текст поста],,"На всякий случай скопирую и сюда. может, кто вспомнит художника? Это не книга, это картина:У меня вопрос по соцреализму (или скорее даже по соц романтизму) — нужно вспомнить автора картины — советский художник, картина называется то ли съезд шелководов СССР, то ли съезд работников шелковой промышленности — что-то в этом роде. Композиция строго классицистическая, в романтизированном сталинском классицизме — гигантские здания, футуристические силуэты, на переднем плане огромная лестница, на которой много людей в красочных одеждах, в центре — фигурка женщины в красном шелковом платье. Все очень радостно, оптимистично — потрясные солнечные краски. Общий колорит — такой солнечно-персиковый.  Видела репродукцию (забыла записать, кто это) , очень хотела бы найти автора — это кто-то из известных имен того периода. По ощущению радости жизни — чем-то напоминает Новую Москву Пименова."
